,Unnamed: 0,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
788,826808,CA,Canada,Manitoba,,,CA-MB,,2020-09-08,0.00745524560392235,0.015608059468415975,,-0.0018841128267611537,-0.000735728592741939,0.0009968300696852925
789,826809,CA,Canada,Manitoba,,,CA-MB,,2020-09-09,0.003973467032446728,0.003624335952753118,,-0.002427112900739083,-0.0013538647627766548,0.0010846961430261742
790,826810,CA,Canada,Manitoba,,,CA-MB,,2020-09-10,0.005728747210859032,0.008166332055307843,,0.0002729309862730214,0.0023415386858961274,0.0005659194782231424
791,826811,CA,Canada,Manitoba,,,CA-MB,,2020-09-11,0.006366348583469921,0.004874237191319297,-0.01714365003883027,-0.011451386986866175,-0.009728600769896682,0.00022300392919992013
792,826812,CA,Canada,Manitoba,,,CA-MB,,2020-09-12,0.004339308571115339,-0.000675467273402663,-0.02940862286110327,-0.013921377932458534,-8.409877785655012e-05,0.0006070860386706824
793,826813,CA,Canada,Manitoba,,,CA-MB,,2020-09-13,-0.009861811126259503,-0.013563119510563474,-0.0046633336992929425,-0.022973574016469236,-0.01285910464455225,0.000586204188644081
794,826814,CA,Canada,Manitoba,,,CA-MB,,2020-09-14,0.007062097309223077,-0.003378211412505121,-0.04012782022520103,-0.003428573186189957,-0.007498702953191194,0.001612465529056428
795,826815,CA,Canada,Manitoba,,,CA-MB,,2020-09-15,0.003291984385762746,0.0015912367957170198,-0.033339787006997,-0.010671836420997574,-0.00870571829184369,0.0010846961430261742
796,826816,CA,Canada,Manitoba,,,CA-MB,,2020-09-16,0.00436320769679903,-1.013800092782195e-05,-0.06434779666852936,-0.010355729105276334,-0.007256910340306326,0.0011725896396099136
797,826817,CA,Canada,Manitoba,,,CA-MB,,2020-09-17,0.005912739024064733,0.006005929797729409,-0.049524834722422716,-0.01257375730228041,-0.003313390693930167,0.001348458566245341
798,826818,CA,Canada,Manitoba,,,CA-MB,,2020-09-18,0.008337636445633281,0.004623964017972119,-0.020929598517975455,-0.01578202212187507,-0.010540080147227916,0.00047817399079432384
799,826819,CA,Canada,Manitoba,,,CA-MB,,2020-09-19,0.004680624522857726,-0.0005450859307237992,0.029830531166916478,-0.015038629703945072,0.0029124589693804498,-0.0006025338545958422
800,826820,CA,Canada,Manitoba,,,CA-MB,,2020-09-20,-0.012770119445947215,-0.018410375037449765,-0.07884023966510581,-0.024787497839446334,-0.014449947946196348,0.0007818767657095161
801,826821,CA,Canada,Manitoba,,,CA-MB,,2020-09-21,0.002016410496585699,-0.006850614517747972,-0.05734081413805564,-0.008117430435598153,-0.008071793028063703,0.002397060109432087
802,826822,CA,Canada,Manitoba,,,CA-MB,,2020-09-22,0.009262728697288586,0.0035342911263026946,0.10413432901565069,-0.0043139037597303325,-0.006530759045864641,-0.0004052289206465491
803,826823,CA,Canada,Manitoba,,,CA-MB,,2020-09-23,0.00863840614033405,0.010075414403300828,-0.03294127079933784,-0.004724150831846321,-0.0023372073531741297,-0.0007618357341075276
804,826824,CA,Canada,Manitoba,,,CA-MB,,2020-09-24,0.0051563437732924985,0.006005929797729409,-0.00800915648870982,-0.010690154945861289,-0.004594313302557128,0.0004702142262728498
805,826825,CA,Canada,Manitoba,,,CA-MB,,2020-09-25,0.0044004748717611985,0.0048528183579668056,0.011935141605142755,-0.013370221148873236,-0.009759582584378064,-4.7709610831719244e-05
806,826826,CA,Canada,Manitoba,,,CA-MB,,2020-09-26,0.003255214647684047,0.0018697838372594548,-0.01898494842102116,-0.02090175145711712,1.8247218630050848e-05,0.00033500172069987177
807,826827,CA,Canada,Manitoba,,,CA-MB,,2020-09-27,-0.02148059584223009,-0.01496652112473257,-0.14641498054529226,-0.02659463325515693,-0.016632381833032884,0.002274447841247466
808,826828,CA,Canada,Manitoba,,,CA-MB,,2020-09-28,0.002064113431989516,-0.003586215629164882,-0.06607114971653236,-0.011011109592033356,-0.008766802530131401,0.0016920049990178454
809,826829,CA,Canada,Manitoba,,,CA-MB,,2020-09-29,0.0014571578595180912,0.002600056095518696,0.006915233391282304,-0.012750975915179121,-0.008646324607022967,0.001340120928677221
810,826830,CA,Canada,Manitoba,,,CA-MB,,2020-09-30,-0.00180731651465254,-0.0011469240938363255,-0.06213594065899326,-0.016284833980474634,-0.008495225191389994,0.001340120928677221
811,826831,CA,Canada,Manitoba,,,CA-MB,,2020-10-01,0.0008036409934573554,0.0039178293776733234,-0.05882501263244048,-0.015346680662531562,-0.006171292736340568,0.0018681089136702714
812,826832,CA,Canada,Manitoba,,,CA-MB,,2020-10-02,0.0008378701036278742,0.0006299959610769718,-0.04695277871546911,-0.018369160314864266,-0.012514380963384752,0.0018681089136702714
813,826833,CA,Canada,Manitoba,,,CA-MB,,2020-10-03,0.00030492087007754406,-0.0010142858963794856,-0.05892039403724126,-0.024124623823140966,0.0023336868714549522,0.0017265213997450816
814,826834,CA,Canada,Manitoba,,,CA-MB,,2020-10-04,-0.02092822638074617,-0.01889933142991645,-0.12369022883601756,-0.029017051383507346,-0.01444190552382466,0.0027961860604705843
815,826835,CA,Canada,Manitoba,,,CA-MB,,2020-10-05,0.0014571578595180912,-0.0045173094129125615,-0.03448362987537357,-0.003595207799282614,-0.008646324607022967,0.0019562010467594347
816,826836,CA,Canada,Manitoba,,,CA-MB,,2020-10-06,-0.0014231860640235633,0.002311606429721806,-0.04159119709018377,-0.014866048935178035,-0.009218027990515739,0.0017800435364154668
817,826837,CA,Canada,Manitoba,,,CA-MB,,2020-10-07,0.0005111902514440849,0.0014376402429175036,-0.01477968994805835,-0.010773725486203601,-0.007953489753040149,0.0010764938125087035
818,826838,CA,Canada,Manitoba,,,CA-MB,,2020-10-08,0.002464884369537351,0.007475081336399887,0.0012642289749557165,-0.013139452256735122,-0.004261403182075481,0.0007253765552408573
819,826839,CA,Canada,Manitoba,,,CA-MB,,2020-10-09,0.0023794288264961825,0.004785774282163149,-0.014189689305639998,-0.016897379197359102,-0.011887592335234799,0.0009886730195702376
820,826840,CA,Canada,Manitoba,,,CA-MB,,2020-10-10,0.0005456939729825826,0.0023978263969417863,-0.045740844490007974,-0.016250177091956405,-0.00034179219738402335,0.0010217549941560276
821,826841,CA,Canada,Manitoba,,,CA-MB,,2020-10-11,-0.019112013814964218,-0.01276077090145773,-0.10871217865403172,-0.02280526545009901,-0.013411315475214684,0.001567698036855256
822,826842,CA,Canada,Manitoba,,,CA-MB,,2020-10-12,-0.0010822416550160486,-0.009907330541318567,-0.026957949777970107,-0.013557333958530855,-0.014450872586396228,0.004850979689064512
823,826843,CA,Canada,Manitoba,,,CA-MB,,2020-10-13,-0.00044672064917880366,-0.0023790711467163157,-0.023522188452524805,-0.011953428147558941,-0.008856774312173955,0.001331858701849178
824,826844,CA,Canada,Manitoba,,,CA-MB,,2020-10-14,0.00029196547509697884,-0.0018840534903164182,-0.04476675872447485,-0.013537571900196783,-0.008315299219257975,0.0015872745703124946
825,826845,CA,Canada,Manitoba,,,CA-MB,,2020-10-15,-0.00048009749760125916,0.002167446095711385,-0.04998463148260691,-0.015575895934401753,-0.006686449891011688,0.002203294857644666
826,826846,CA,Canada,Manitoba,,,CA-MB,,2020-10-16,-0.0003736428265893486,-0.0006219522123191089,-0.055205249563888704,-0.023795439828870307,-0.014776511266178646,0.002203294857644666
827,826847,CA,Canada,Manitoba,,,CA-MB,,2020-10-17,8.571379159568859e-05,-0.0013113511001915782,-0.04555151505241042,-0.025292954709178993,0.003604279639760333,0.0018767147623545452
828,826848,CA,Canada,Manitoba,,,CA-MB,,2020-10-18,-0.02236550276767082,-0.02127906803450617,-0.146935532678855,-0.03616086642235528,-0.013832101779080168,0.0035652800105945314
829,826849,CA,Canada,Manitoba,,,CA-MB,,2020-10-19,-3.442847778826726e-05,-0.00781521007826991,-0.0367703122350995,-0.009417514672901582,-0.008676814287991422,0.00237954129359103
830,826850,CA,Canada,Manitoba,,,CA-MB,,2020-10-20,-0.0018211078919880333,-0.0033011791587469644,-0.05352219779953884,-0.017292823287527532,-0.010929753943817866,0.0020271548124825888
831,826851,CA,Canada,Manitoba,,,CA-MB,,2020-10-21,-0.004289419785192927,-0.002741746605027961,-0.04370948892899117,-0.012268674661990995,-0.010359961107163945,0.0016751965830987658
