,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
675939,CA,Canada,British Columbia,,,CA-BC,,2020-06-09,-26.0,-3.0,21.0,-52.0,-38.0,16.0
675940,CA,Canada,British Columbia,,,CA-BC,,2020-06-10,-23.0,2.0,86.0,-46.0,-39.0,14.0
675941,CA,Canada,British Columbia,,,CA-BC,,2020-06-11,-23.0,2.0,91.0,-47.0,-38.0,14.0
675942,CA,Canada,British Columbia,,,CA-BC,,2020-06-12,-24.0,0.0,50.0,-47.0,-37.0,13.0
675943,CA,Canada,British Columbia,,,CA-BC,,2020-06-13,-24.0,1.0,57.0,-39.0,-15.0,7.0
675944,CA,Canada,British Columbia,,,CA-BC,,2020-06-14,-24.0,-5.0,60.0,-39.0,-16.0,6.0
675945,CA,Canada,British Columbia,,,CA-BC,,2020-06-15,-24.0,-1.0,16.0,-50.0,-38.0,14.0
675946,CA,Canada,British Columbia,,,CA-BC,,2020-06-16,-17.0,6.0,147.0,-43.0,-36.0,13.0
675947,CA,Canada,British Columbia,,,CA-BC,,2020-06-17,-19.0,4.0,144.0,-41.0,-38.0,12.0
675948,CA,Canada,British Columbia,,,CA-BC,,2020-06-18,-18.0,8.0,154.0,-42.0,-37.0,11.0
675949,CA,Canada,British Columbia,,,CA-BC,,2020-06-19,-18.0,6.0,121.0,-40.0,-36.0,8.0
675950,CA,Canada,British Columbia,,,CA-BC,,2020-06-20,-23.0,6.0,31.0,-42.0,-16.0,7.0
675951,CA,Canada,British Columbia,,,CA-BC,,2020-06-21,-15.0,2.0,129.0,-32.0,-13.0,2.0
675952,CA,Canada,British Columbia,,,CA-BC,,2020-06-22,-19.0,2.0,114.0,-43.0,-39.0,11.0
675953,CA,Canada,British Columbia,,,CA-BC,,2020-06-23,-18.0,4.0,109.0,-44.0,-37.0,12.0
675954,CA,Canada,British Columbia,,,CA-BC,,2020-06-24,-15.0,8.0,120.0,-41.0,-37.0,12.0
675955,CA,Canada,British Columbia,,,CA-BC,,2020-06-25,-15.0,9.0,168.0,-40.0,-36.0,11.0
675956,CA,Canada,British Columbia,,,CA-BC,,2020-06-26,-18.0,5.0,103.0,-39.0,-36.0,9.0
675957,CA,Canada,British Columbia,,,CA-BC,,2020-06-27,-20.0,4.0,79.0,-34.0,-16.0,5.0
675958,CA,Canada,British Columbia,,,CA-BC,,2020-06-28,-15.0,0.0,157.0,-26.0,-13.0,2.0
675959,CA,Canada,British Columbia,,,CA-BC,,2020-06-29,-12.0,6.0,154.0,-40.0,-40.0,10.0
675960,CA,Canada,British Columbia,,,CA-BC,,2020-06-30,-8.0,12.0,115.0,-42.0,-39.0,11.0
675961,CA,Canada,British Columbia,,,CA-BC,,2020-07-01,-21.0,3.0,90.0,-54.0,-70.0,19.0
675962,CA,Canada,British Columbia,,,CA-BC,,2020-07-02,-16.0,8.0,93.0,-44.0,-42.0,13.0
675963,CA,Canada,British Columbia,,,CA-BC,,2020-07-03,-16.0,5.0,58.0,-44.0,-42.0,11.0
675964,CA,Canada,British Columbia,,,CA-BC,,2020-07-04,-18.0,4.0,134.0,-31.0,-16.0,4.0
675965,CA,Canada,British Columbia,,,CA-BC,,2020-07-05,-11.0,1.0,189.0,-23.0,-15.0,0.0
675966,CA,Canada,British Columbia,,,CA-BC,,2020-07-06,-13.0,7.0,130.0,-40.0,-40.0,10.0
675967,CA,Canada,British Columbia,,,CA-BC,,2020-07-07,-13.0,8.0,119.0,-42.0,-39.0,11.0
675968,CA,Canada,British Columbia,,,CA-BC,,2020-07-08,-13.0,7.0,136.0,-39.0,-39.0,10.0
675969,CA,Canada,British Columbia,,,CA-BC,,2020-07-09,-15.0,9.0,99.0,-43.0,-39.0,12.0
675970,CA,Canada,British Columbia,,,CA-BC,,2020-07-10,-13.0,7.0,160.0,-37.0,-37.0,8.0
675971,CA,Canada,British Columbia,,,CA-BC,,2020-07-11,-20.0,3.0,55.0,-37.0,-15.0,5.0
675972,CA,Canada,British Columbia,,,CA-BC,,2020-07-12,-12.0,3.0,156.0,-26.0,-14.0,2.0
675973,CA,Canada,British Columbia,,,CA-BC,,2020-07-13,-12.0,8.0,155.0,-39.0,-39.0,9.0
675974,CA,Canada,British Columbia,,,CA-BC,,2020-07-14,-11.0,9.0,207.0,-40.0,-38.0,10.0
675975,CA,Canada,British Columbia,,,CA-BC,,2020-07-15,-11.0,9.0,183.0,-38.0,-38.0,9.0
675976,CA,Canada,British Columbia,,,CA-BC,,2020-07-16,-13.0,11.0,136.0,-40.0,-38.0,10.0
675977,CA,Canada,British Columbia,,,CA-BC,,2020-07-17,-13.0,9.0,152.0,-37.0,-37.0,8.0
675978,CA,Canada,British Columbia,,,CA-BC,,2020-07-18,-16.0,7.0,158.0,-28.0,-14.0,2.0
675979,CA,Canada,British Columbia,,,CA-BC,,2020-07-19,-10.0,4.0,181.0,-23.0,-15.0,0.0
675980,CA,Canada,British Columbia,,,CA-BC,,2020-07-20,-10.0,10.0,172.0,-39.0,-40.0,8.0
675981,CA,Canada,British Columbia,,,CA-BC,,2020-07-21,-10.0,12.0,203.0,-40.0,-38.0,10.0
675982,CA,Canada,British Columbia,,,CA-BC,,2020-07-22,-11.0,11.0,160.0,-39.0,-38.0,9.0
675983,CA,Canada,British Columbia,,,CA-BC,,2020-07-23,-13.0,9.0,136.0,-40.0,-37.0,10.0
675984,CA,Canada,British Columbia,,,CA-BC,,2020-07-24,-15.0,7.0,133.0,-38.0,-36.0,8.0
675985,CA,Canada,British Columbia,,,CA-BC,,2020-07-25,-16.0,6.0,156.0,-29.0,-14.0,2.0
675986,CA,Canada,British Columbia,,,CA-BC,,2020-07-26,-12.0,2.0,190.0,-25.0,-14.0,0.0
675987,CA,Canada,British Columbia,,,CA-BC,,2020-07-27,-11.0,9.0,168.0,-39.0,-40.0,9.0
675988,CA,Canada,British Columbia,,,CA-BC,,2020-07-28,-11.0,10.0,192.0,-41.0,-38.0,10.0
675989,CA,Canada,British Columbia,,,CA-BC,,2020-07-29,-10.0,11.0,184.0,-38.0,-39.0,9.0
675990,CA,Canada,British Columbia,,,CA-BC,,2020-07-30,-10.0,14.0,188.0,-38.0,-39.0,9.0
675991,CA,Canada,British Columbia,,,CA-BC,,2020-07-31,-12.0,13.0,165.0,-35.0,-40.0,7.0
675992,CA,Canada,British Columbia,,,CA-BC,,2020-08-01,-17.0,8.0,161.0,-29.0,-18.0,2.0
675993,CA,Canada,British Columbia,,,CA-BC,,2020-08-02,-11.0,2.0,191.0,-27.0,-18.0,0.0
675994,CA,Canada,British Columbia,,,CA-BC,,2020-08-03,-12.0,9.0,231.0,-46.0,-72.0,14.0
675995,CA,Canada,British Columbia,,,CA-BC,,2020-08-04,-10.0,13.0,206.0,-37.0,-40.0,9.0
675996,CA,Canada,British Columbia,,,CA-BC,,2020-08-05,-10.0,12.0,190.0,-36.0,-40.0,9.0
675997,CA,Canada,British Columbia,,,CA-BC,,2020-08-06,-14.0,9.0,93.0,-42.0,-40.0,11.0
675998,CA,Canada,British Columbia,,,CA-BC,,2020-08-07,-15.0,5.0,93.0,-38.0,-38.0,9.0
675999,CA,Canada,British Columbia,,,CA-BC,,2020-08-08,-17.0,6.0,116.0,-30.0,-14.0,4.0
676000,CA,Canada,British Columbia,,,CA-BC,,2020-08-09,-12.0,2.0,184.0,-23.0,-15.0,0.0
676001,CA,Canada,British Columbia,,,CA-BC,,2020-08-10,-12.0,8.0,157.0,-39.0,-40.0,8.0
676002,CA,Canada,British Columbia,,,CA-BC,,2020-08-11,-11.0,7.0,174.0,-40.0,-38.0,10.0
676003,CA,Canada,British Columbia,,,CA-BC,,2020-08-12,-13.0,7.0,158.0,-37.0,-39.0,9.0
676004,CA,Canada,British Columbia,,,CA-BC,,2020-08-13,-13.0,9.0,169.0,-38.0,-39.0,9.0
676005,CA,Canada,British Columbia,,,CA-BC,,2020-08-14,-14.0,8.0,168.0,-34.0,-38.0,7.0
676006,CA,Canada,British Columbia,,,CA-BC,,2020-08-15,-17.0,7.0,154.0,-27.0,-15.0,2.0
676007,CA,Canada,British Columbia,,,CA-BC,,2020-08-16,-13.0,2.0,188.0,-22.0,-16.0,0.0
676008,CA,Canada,British Columbia,,,CA-BC,,2020-08-17,-13.0,8.0,157.0,-38.0,-41.0,8.0
676009,CA,Canada,British Columbia,,,CA-BC,,2020-08-18,-12.0,8.0,198.0,-40.0,-38.0,9.0
676010,CA,Canada,British Columbia,,,CA-BC,,2020-08-19,-14.0,6.0,156.0,-38.0,-39.0,9.0
676011,CA,Canada,British Columbia,,,CA-BC,,2020-08-20,-15.0,8.0,86.0,-42.0,-39.0,11.0
676012,CA,Canada,British Columbia,,,CA-BC,,2020-08-21,-18.0,4.0,77.0,-40.0,-38.0,9.0
676013,CA,Canada,British Columbia,,,CA-BC,,2020-08-22,-17.0,5.0,131.0,-28.0,-13.0,3.0
676014,CA,Canada,British Columbia,,,CA-BC,,2020-08-23,-14.0,0.0,144.0,-24.0,-15.0,1.0
676015,CA,Canada,British Columbia,,,CA-BC,,2020-08-24,-13.0,6.0,133.0,-38.0,-39.0,9.0
676016,CA,Canada,British Columbia,,,CA-BC,,2020-08-25,-12.0,7.0,183.0,-39.0,-37.0,9.0
